date,wage
Sep-97,67.4
Dec-97,67.9
Mar-98,68.5
Jun-98,68.8
Sep-98,69.6
Dec-98,70
Mar-99,70.4
Jun-99,70.8
Sep-99,71.5
Dec-99,71.9
Mar-00,72.4
Jun-00,72.9
Sep-00,73.8
Dec-00,74.4
Mar-01,75.1
Jun-01,75.5
Sep-01,76.4
Dec-01,76.9
Mar-02,77.4
Jun-02,77.9
Sep-02,79
Dec-02,79.5
Mar-03,80.1
Jun-03,80.5
Sep-03,81.4
Dec-03,82.2
Mar-04,82.7
Jun-04,83.2
Sep-04,84.3
Dec-04,85.1
Mar-05,85.8
Jun-05,86.5
Sep-05,87.6
Dec-05,88.4
Mar-06,89.3
Jun-06,90
Sep-06,90.9
Dec-06,91.7
Mar-07,92.7
Jun-07,93.5
Sep-07,94.7
Dec-07,95.7
Mar-08,96.6
Jun-08,97.6
Sep-08,98.7
Dec-08,99.8
Mar-09,100.5
Jun-09,101
Sep-09,101.8
Dec-09,102.3
Mar-10,103.1
Jun-10,103.8
Sep-10,105.4
Dec-10,106.3
Mar-11,107.2
Jun-11,107.8
Sep-11,109.3
Dec-11,110.3
Mar-12,111.2
Jun-12,112
Sep-12,113.3
Dec-12,114.1
Mar-13,114.7
Jun-13,115.3
Sep-13,116.4
Dec-13,117
Mar-14,117.7
Jun-14,118.2
Sep-14,119.3
Dec-14,119.9
Mar-15,120.3
Jun-15,120.8
Sep-15,121.8
Dec-15,122.3
Mar-16,122.7
Jun-16,123.1
Sep-16,124.1
Dec-16,124.5
Mar-17,124.9
Jun-17,125.4
Sep-17,126.4
Dec-17,126.9
Mar-18,127.4
